,Unnamed: 0,"Region, subregion, country or area *",0-9,Oct-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,weighted_fatality,population,country
38,38,84017077,6753.25,7434.25,7718.000000000001,7661.250000000001,7207.25,7491.0,6469.5,3802.25,2213.25,0.03,56750,84017077
39,39,84017079,1143.59,1258.91,1306.96,1297.3500000000001,1220.47,1268.52,1095.54,643.87,374.79,0.03,9610,84017079
40,40,84017081,4484.396,4936.604,5125.024,5087.34,4785.868,4974.2880000000005,4295.976000000001,2524.828,1469.676,0.03,37684,84017081
41,41,84017083,2590.987,2852.263,2961.128,2939.355,2765.171,2874.036,2482.1220000000003,1458.7910000000002,849.147,0.03,21773,84017083
42,42,84017085,2526.9649999999997,2781.7850000000003,2887.96,2866.7250000000004,2696.8450000000003,2803.02,2420.79,1422.7450000000001,828.165,0.03,21235,84017085
43,43,84017087,1477.623,1626.627,1688.7120000000002,1676.295,1576.959,1639.044,1415.538,831.9390000000001,484.263,0.03,12417,84017087
44,44,84017089,63355.956999999995,69744.793,72406.808,71874.405,67615.181,70277.196,60693.942,35671.001000000004,20763.717,0.03,532403,84017089
45,45,84017091,13073.578,14391.922,14941.232000000002,14831.37,13952.474,14501.784000000001,12524.268,7360.754000000001,4284.618,0.03,109862,84017091
46,46,84017093,15349.81,16897.690000000002,17542.640000000003,17413.65,16381.73,17026.68,14704.86,8642.33,5030.61,0.03,128990,84017093
47,47,84017095,5914.181,6510.569,6759.064,6709.365000000001,6311.773,6560.268,5665.686000000001,3329.833,1938.261,0.03,49699,84017095
48,48,84017097,82887.665,91246.085,94728.76000000001,94032.225,88459.945,91942.62000000001,79404.99,46667.845,27164.865,0.03,696535,84017097
49,49,84017099,12931.610999999999,14235.639000000001,14778.984,14670.315,13800.963,14344.308,12388.266,7280.823,4238.091,0.03,108669,84017099
50,50,84017101,1865.682,2053.818,2132.208,2116.53,1991.106,2069.496,1787.2920000000001,1050.4260000000002,611.442,0.03,15678,84017101
51,51,84017103,4057.424,4466.576,4637.0560000000005,4602.96,4330.192,4500.6720000000005,3886.944,2284.4320000000002,1329.744,0.03,34096,84017103
52,52,84017105,4242.112,4669.888,4848.128000000001,4812.4800000000005,4527.296,4705.536,4063.8720000000003,2388.416,1390.272,0.03,35648,84017105
53,53,84017107,3405.542,3748.958,3892.0480000000002,3863.4300000000003,3634.486,3777.576,3262.452,1917.4060000000002,1116.102,0.03,28618,84017107
54,54,84017109,3532.158,3888.342,4036.7520000000004,4007.07,3769.614,3918.0240000000003,3383.748,1988.6940000000002,1157.598,0.03,29682,84017109
55,55,84017111,36625.106,40318.394,41857.264,41549.490000000005,39087.298,40626.168000000005,35086.236000000004,20620.858,12003.186,0.03,307774,84017111
56,56,84017113,20410.522999999997,22468.727000000003,23326.312,23154.795000000002,21782.659,22640.244000000002,19552.938000000002,11491.639000000001,6689.163,0.03,171517,84017113
57,57,84017115,12377.071,13625.179,14145.224,14041.215,13209.143,13729.188,11857.026,6968.603,4056.351,0.03,104009,84017115
58,58,84017117,5346.1939999999995,5885.3060000000005,6109.936000000001,6065.01,5705.602,5930.232,5121.564,3010.0420000000004,1752.114,0.03,44926,84017117
59,59,84017119,31292.953999999998,34448.546,35763.376000000004,35500.41,33396.682,34711.512,29978.124,17618.722,10255.674,0.03,262966,84017119
60,60,84017121,4427.3949999999995,4873.8550000000005,5059.88,5022.675,4725.035,4911.06,4241.37,2492.735,1450.995,0.03,37205,84017121
61,61,84017123,1361.1219999999998,1498.3780000000002,1555.5680000000002,1544.13,1452.626,1509.816,1303.932,766.346,446.082,0.03,11438,84017123
