geoid,name,B01001001,"B01001001, Error",B01001002,"B01001002, Error",B01001003,"B01001003, Error",B01001004,"B01001004, Error",B01001005,"B01001005, Error",B01001006,"B01001006, Error",B01001007,"B01001007, Error",B01001008,"B01001008, Error",B01001009,"B01001009, Error",B01001010,"B01001010, Error",B01001011,"B01001011, Error",B01001012,"B01001012, Error",B01001013,"B01001013, Error",B01001014,"B01001014, Error",B01001015,"B01001015, Error",B01001016,"B01001016, Error",B01001017,"B01001017, Error",B01001018,"B01001018, Error",B01001019,"B01001019, Error",B01001020,"B01001020, Error",B01001021,"B01001021, Error",B01001022,"B01001022, Error",B01001023,"B01001023, Error",B01001024,"B01001024, Error",B01001025,"B01001025, Error",B01001026,"B01001026, Error",B01001027,"B01001027, Error",B01001028,"B01001028, Error",B01001029,"B01001029, Error",B01001030,"B01001030, Error",B01001031,"B01001031, Error",B01001032,"B01001032, Error",B01001033,"B01001033, Error",B01001034,"B01001034, Error",B01001035,"B01001035, Error",B01001036,"B01001036, Error",B01001037,"B01001037, Error",B01001038,"B01001038, Error",B01001039,"B01001039, Error",B01001040,"B01001040, Error",B01001041,"B01001041, Error",B01001042,"B01001042, Error",B01001043,"B01001043, Error",B01001044,"B01001044, Error",B01001045,"B01001045, Error",B01001046,"B01001046, Error",B01001047,"B01001047, Error",B01001048,"B01001048, Error",B01001049,"B01001049, Error"
01000US,United States,327167439,0,161118151,27812,10047966,20195,10095699,40077,11000943,42565,6394674,15048,4578048,24539,2334371,26734,2261277,31269,6526051,36088,11869477,19178,11111452,19151,10790784,45684,9900261,43504,10253794,17141,10266496,16993,10515549,40902,4134525,28718,5745886,32822,3437352,24975,4618529,28048,6221547,27915,4195815,23854,2591562,18945,2226093,19806,166049288,27815,9598349,16998,9710201,40383,10391979,38451,6112431,16318,4360340,25102,2189783,27981,2123718,24070,6282762,32765,11451225,17253,10912520,15727,10780518,49242,10026890,46468,10479646,17514,10605308,14985,11108992,33803,4470201,32310,6312209,31949,3815458,23603,5235949,29094,7242478,32243,5182697,27605,3577879,24398,4077755,23588
04000US17,Illinois,12741080,0,6266062,4378,390783,2204,384930,7153,431268,6921,257140,2192,172181,3880,86659,5333,89582,5492,252769,5738,453675,2695,438704,3245,425515,7454,395053,7542,402713,2410,404797,1640,416020,5860,169967,5407,224570,6074,127293,4417,178370,4670,227775,4044,159021,3988,90664,3585,86613,2993,6475018,4378,368673,2413,377307,8370,406872,8289,238829,1972,167695,2773,79513,4653,78831,4988,251672,6483,444808,2595,428330,2124,421226,8260,402596,7625,412184,2432,416360,2501,439596,6924,174993,6311,244721,6136,145421,4512,191088,4734,273382,5736,196855,5609,141111,5049,172955,4146
